ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3687667816;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7273548;-95.3366014;[]
N3679780839;3119079;2015-08-04T05:45:15Z;true;1;33087879;29.7163755;-95.3399875;[]
N3679809282;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183565;-95.3469162;[]
N3679809283;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183651;-95.3434187;[]
N3679809280;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183498;-95.3475967;[]
N3679809281;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183513;-95.3469451;[]
N3679780850;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164434;-95.3416572;[]
N3679780853;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164513;-95.3416305;[]
N3679780854;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164513;-95.3416897;[]
N3679780851;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164496;-95.3413866;[]
N3687667820;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274005;-95.3365078;[]
N3679780852;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164496;-95.3417418;[]
N3679780857;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164716;-95.3414556;[]
N3679780858;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164716;-95.3416063;[]
N3679780855;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.716459;-95.3402281;[]
N3679780856;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164661;-95.3402905;[]
N3687667825;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274564;-95.3383717;[]
N3687667826;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274627;-95.3326483;[]
N3679780849;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164373;-95.3417467;[]
N3687667827;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274701;-95.3326197;[]
N3679780848;3119079;2015-08-04T05:45:15Z;true;1;33087879;29.7164338;-95.3402662;[]
N3687667828;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274923;-95.3325988;[]
N3687667821;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274062;-95.3368232;[]
N3687667822;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274147;-95.3362597;[]
N3687667823;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274247;-95.3366047;[]
N3687667824;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7274261;-95.3366918;[]
N3679809279;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183433;-95.3439132;[]
N3679809278;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183361;-95.3438966;[]
N3679809277;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.718289;-95.3434612;[]
N3679809276;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.718289;-95.3434298;[]
N3687667829;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7275374;-95.336723;[]
N3679809275;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7182883;-95.3433966;[]
N3679809274;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7182809;-95.3435032;[]
N3679809273;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7182794;-95.3433396;[]
N3679809291;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7184347;-95.3469213;[]
N3679809292;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7184406;-95.3469468;[]
N3679809293;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7184608;-95.3439149;[]
N3679809294;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7184798;-95.3433115;[]
N3679780860;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164969;-95.3404605;[]
N3679780861;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165006;-95.3415913;[]
N3679809290;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7184293;-95.3434111;[]
N3679780862;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165031;-95.3420177;[]
N3687667831;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7276077;-95.3383961;[]
N3679780863;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165037;-95.3399887;[]
